门店名（MJ统一）,门店编码（MJ）,门店地址（MJ统一）,大区,片区,区域,缺失值统计,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,品牌渠道
123BABY孕婴童全国连锁-茂名高州旗舰店,20529317,高州市文明路（金港湾对面）,华南区,粤西,茂名,0,59166.5,85135.0,66939.0,85748.5,53849.0,83947.5,67765.5,89521.0,58338.0,61852.5,60434.0,53879.5,61735.5,54984.5,61985.0,37887.0,60769.5,48339.0,54108.0,54121.0,66526.0,47837.02,44288.04,66754.06,44594.0,72178.0,63731.0,64889.0,71363.0,77049.0,85370.0,83194.0,114100.0,117870.0,135496.0,115589.0,129230.0,141450.0,94498.0,123BABY
123BABY孕婴童全国连锁-茂名高州电影院店,20110573,高州市潘州中路62号,华南区,粤西,茂名,0,61943.5,60818.5,88101.0,144628.0,187786.0,146975.5,109668.0,138325.5,121064.5,97261.0,108601.5,125257.5,83185.5,105116.0,106884.5,68957.0,99455.0,86325.5,83112.0,91634.0,94974.0,76303.0,81545.0,113396.04,39426.0,41627.0,72908.0,59049.0,104599.0,65934.0,73045.0,29902.0,42448.0,40247.0,78743.0,62938.0,75802.0,30423.0,51292.0,123BABY
123BABY茂名化州河东店,11450069,化州市上街垌87号,华南区,粤西,茂名,0,92379.0,71640.0,100101.36,93939.0,100397.0,96195.0,94845.0,114475.0,111613.5,95728.5,78209.0,111862.0,84202.0,68129.0,80112.0,62296.0,63375.0,63776.0,47373.0,65283.0,96233.0,57534.0,52322.0,70957.02,76419.0,67010.0,17311.0,11903.0,16702.0,2283.0,11220.0,16212.0,28571.0,8147.0,-687.0,17768.0,8932.0,32333.0,9361.0,123BABY
50320894-冀州区贝贝佳母婴,21161443,兴华南大街东侧,华北区,河北,邯郸衡水邢台,0,24503.0,22203.0,29134.0,38258.0,47241.0,41196.0,38068.0,49136.5,47474.0,50298.0,47390.0,46913.0,43355.0,41371.0,38227.0,41240.5,47214.0,39414.0,38781.0,59524.0,61464.0,60003.0,63050.0,64327.0,67247.98,56033.0,64537.0,49029.0,61724.0,61149.0,66502.0,66025.0,68606.0,65486.0,66530.0,67470.0,51505.0,101477.0,70941.0,其他母婴店
A加宝贝孕婴双流一店,20113405,四川省成都市双流区东升街道涧槽中街A加宝贝孕婴店,华西区,四川重庆,成都,0,105390.0,132088.0,125153.0,110941.5,112524.0,90804.5,86659.0,82335.96,84202.5,76399.0,88879.5,72056.0,115737.44,66154.5,80897.0,60676.0,64286.0,61474.5,59885.0,63007.5,70690.0,69346.0,70755.0,79630.0,111375.0,69851.0,91153.0,72262.0,75442.0,77813.0,58162.0,71852.0,53154.0,64622.0,79959.0,4122.0,4410.0,-504.0,2140.0,孕婴童
B00001爱婴岛珠海前山医院加盟F店,21186993,广东省珠海市香洲区兰埔路271号金域堤香34，35号铺,华南区,广佛中,中山珠海,0,28077.96,30259.5,24931.5,34231.0,34620.0,52450.5,47661.4,60423.0,52225.0,53187.0,57732.5,58505.0,57954.0,108953.0,-2774.0,54487.0,53284.0,61961.5,54121.0,53830.5,53437.0,49484.0,35850.0,30141.0,29244.0,52640.86,64799.06,69290.0,59021.0,57655.0,51919.0,56616.0,58358.0,53045.0,56856.0,51477.0,24049.0,51264.0,59001.0,爱婴岛
BB屋佛山黄岐2店,20108484,广东省佛山市南海区大沥镇黄岐鄱阳路华侨花园32-35号,华南区,广佛中,佛山,0,54416.5,99690.5,94571.5,90266.0,87863.0,73678.5,73210.0,86851.0,83198.5,82320.5,62895.0,61647.5,82285.5,60292.0,77595.0,69047.5,67105.5,65232.0,63357.0,52588.5,45312.5,60798.0,49039.0,60463.0,55344.0,36322.0,51047.0,47820.0,48533.0,52908.0,62367.0,63045.0,68812.0,65034.0,70193.0,71792.0,60694.0,60365.0,86269.0,其他渠道
BLT深圳龙岗万科店,20600836,深圳市龙岗区龙翔大道万科广场BLT店,华南区,深莞惠,深圳,0,61615.42,70406.94,105305.96,67383.46,93867.0,83586.5,68033.5,86715.5,95438.0,81499.0,93812.0,124614.5,106440.5,93556.5,81000.0,80741.0,87215.0,99612.0,80362.0,121210.0,81083.0,99273.0,120479.0,120384.0,278705.06,126654.08,127399.1,130984.12,125190.0,106637.0,123919.0,96266.04,120260.04,151850.12,110169.22,81158.02,157655.18,90872.1,124323.26,其他渠道
C101212爱婴岛顺德杏坛店,20352134,顺德区杏坛镇明珠楼首层,华南区,广佛中,佛山,0,83766.46,83573.88,83188.86,85188.38,80915.78,88068.3,72832.96,97994.4,88053.44,88311.04,85087.8,96323.5,105395.0,78606.0,97064.38,97981.72,98070.0,101946.0,82750.0,83081.0,89668.0,100709.0,85951.0,106292.0,108003.0,77691.0,82867.0,92037.0,90091.0,97563.0,91331.0,106325.0,85129.0,102108.0,120361.0,110525.0,105959.0,101923.0,105412.0,爱婴岛
C101275爱婴岛开平东汇城店,20391404,开平市东汇城2楼2034_2037铺位,华南区,粤西,江门,0,80828.0,61478.5,69039.5,69250.0,51858.5,49406.8,43404.9,62930.8,53166.0,76908.0,85877.5,95459.0,128332.5,65526.0,84417.0,83538.0,73523.0,80772.5,84284.0,83381.0,89543.02,93094.04,82596.06,88413.18,99138.04,73795.0,84513.0,76360.0,81372.0,79382.0,81932.0,89689.0,109687.0,91888.0,116719.0,86439.0,94052.0,78044.0,94320.0,爱婴岛
