月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
华润车坊店,16598.447,28978.145,152623.3,25140.898,15591.352,11307.475,11308.376,18535.352,17419.676,24433.902,13021.987,24383.543,苏州,东区,苏沪区,SN-05628,华润,12,1.0
华润金枫店,23838.412,21099.24,198151.98,24835.549,11184.944,10264.135,7948.474,15064.11,13520.968,16333.6875,16464.186,13236.668,苏州,东区,苏沪区,HR-0038,华润,12,1.0
华润镇海店,25403.572,7.856167e-05,46555.555,5754.276,21475.771,11137.043,11824.522,18621.47,10657.254,12905.28,12570.296,10576.716,宁波,东区,浙江区,ZJ-01006,华润,10,0.8333333333333334
华润青岛乐客城店,19364.307,21293.865,28770.426,14225.982,21475.771,11972.793,23165.943,16779.258,19101.635,19263.584,14823.61,12921.207,青岛,北区,鲁东区,HR-SD-0006,家家悦,12,1.0
华润青岛城阳丹山店,21597.377,27204.348,17411.45,11487.64,16121.811,12754.407,24045.346,23347.164,20472.129,20006.95,17129.855,15621.543,青岛,北区,鲁东区,HR-SD-0005,家家悦,12,1.0
华润龙华店,25403.572,73419.125,115040.34,11170.847,11684.785,6251.21,9023.295,19836.156,15419.315,20791.281,12501.752,16126.57,深圳,南区,粤赣区,HRWJ-0054,华润,12,1.0
华润龙洞店,23228.76,58817.85,90729.69,10602.344,16439.725,9185.765,7030.113,24563.607,30269.582,19016.275,12162.425,13643.774,广州,南区,湖广区,HRWJ-0095,华润,12,1.0
华联(北园店),10745.519,20599.662,12518.61,13779.642,14848.433,21434.3,22494.182,19410.3,6335.7393,6595.87,9619.335,5278.1777,济南,北区,鲁西区,JN-00002,GT-MT,12,1.0
华联南京路店,8.950954e-05,22296.473,0.00016403859,7.453894e-05,7.566992e-05,-0.00064453157,7.40332e-05,8.226378e-05,8213.222,24433.902,7959.367,5125.266,徐州,东区,苏沪区,JSR-N-04261,经销商,4,0.3333333333333333
南京中商金润发鼓楼购物中心有限公司,23777.314,22296.473,37696.684,24408.889,33870.727,39782.94,52603.242,45544.832,37395.258,50906.785,53382.477,42540.375,南京,东区,苏沪区,RTM-0028,大润发,12,1.0
南京中商金润发龙江超市有限公司,39715.965,58535.16,45220.195,21154.787,33051.414,28486.143,31430.059,34501.312,17419.676,41391.758,43102.688,40808.324,南京,东区,苏沪区,RTM-0029,大润发,12,1.0
南京中央金城仓储超市有限责任公司,30663.773,20965.72,38767.836,27576.604,40801.973,46448.76,65334.85,58071.36,52421.027,61731.77,64448.91,54275.88,南京,东区,苏沪区,RTM-0030,大润发,12,1.0
南京市江宁万达店,27126.27,55376.87,117510.23,41003.152,32176.62,24934.986,38484.574,39953.062,25686.473,24433.902,35739.258,39409.4,南京,东区,苏沪区,YH-00040,永辉,12,1.0
南京悦家超市有限公司,11453.855,13854.496,35418.543,15432.854,10138.929,7057.494,5058.251,5577.4487,7815.5312,9613.374,5192.11,818.03864,南京,东区,苏沪区,CRF-0040,家乐福,12,1.0
南京悦家超市有限公司河西中央公园店,9139.479,7183.601,17261.521,10957.05,7624.6636,33169.086,7.40332e-05,23347.164,6.137827e-05,-0.00045141764,8.407705e-05,8.591547e-05,南京,东区,苏沪区,CRF-0106,家乐福,6,0.5
南京欧尚超市有限公司,25403.572,18945.416,35096.84,22932.588,23638.14,6251.21,21011.254,26429.607,18372.586,25733.166,33160.18,22731.21,南京,东区,苏沪区,AUC-0010,大润发,12,1.0
南京欧尚超市有限公司应天店,22936.51,7.856167e-05,44631.23,29354.443,31254.357,27056.645,38612.594,38372.46,30045.416,24433.902,43725.36,33991.793,南京,东区,苏沪区,AUC-0027,大润发,11,0.9166666666666666
南京欧尚超市有限公司江宁店,37382.17,28546.926,46555.555,40524.715,21475.771,34482.57,48865.023,40860.766,32505.834,43846.55,45479.645,39885.043,南京,东区,苏沪区,AUC-0021,大润发,12,1.0
南京轩润超市有限公司,25403.572,38773.535,58859.066,49573.73,45636.992,37644.66,55565.145,50286.797,37671.754,54785.51,56257.05,41009.55,南京,东区,苏沪区,RTM-N-00042,大润发,12,1.0
南充市南部大润发商业有限公司,21945.553,18626.896,29781.85,21154.787,10097.46,12776.297,10881.792,13168.527,10823.14,13478.056,23861.785,11492.491,南部县,西区,四川区,RTM-0341,大润发,12,1.0
南充润华商业有限公司,35092.332,30980.244,83407.94,29765.416,21407.475,26752.01,21011.254,22020.812,21705.744,29078.371,48206.207,23850.04,南充,西区,四川区,RTM-0210,大润发,12,1.0
南充润泰商业有限公司,25236.002,16008.951,72584.43,15144.572,12172.465,22578.459,13095.253,15374.457,17419.676,23530.346,38345.363,19544.28,南充,西区,四川区,RTM-0213,大润发,12,1.0
南城百货亭江店33号店,11103.377,13242.339,46555.555,9898.815,11116.838,10454.36,9698.004,9925.81,9796.217,10424.489,8.407705e-05,8.591547e-05,南宁,东区,湖北区,SC-17672,南城百货,10,0.8333333333333334
